@relation desinformacao_ia

@attribute texto string
@attribute classe {Fake, Fato}

@data
'o google pretende cortar relações com a scale al depois que a startup fechou acordo de mais de us$ 14 bilhões com a meta segundo a agência de noticias reuters a big tech conversou com concorrentes da startup de rotulagem de dados a fim de transferir grande parte da carga de trabalho a um novo parceiro o google considerado o maior cliente atual da scale al planejava desembolsar cerca de us$ 200 milhões em 2025 à startup por seus dados de treinamento rotulados por humanos agora um dos maiores impeditivos para que a parceria continue é o investimento bilionário da meta na empresa na última semana a scale al confirmou o aporte de us$ 143 bilhões na aquisição de uma parte da companhia pela controladora do facebook instagram e whatsapp ainda em seu comunicado a scale al afirmou que continuaria independente apesar da parte acionária da meta e que está comprometida em fornecer soluções de ia líderes do setor e proteger os dados dos clientes procurada pelo canaltech a gigante das buscas não comentou o assunto até o momento ceo da scale al participará de grupo de superinteligência da meta como parte do acordo bilionário entre as empresas o ceo da scale ai alexandr wang vai assumir uma nova função na meta como uma das lideranças do grupo de superinteligência da companhia a equipe é uma ideia do ceo da meta mark zuckerberg para investir em melhorias da inteligência artificial ia da empresa assim como aumentar os esforços para a criação de uma ia geral agi conceito de uma tecnologia que conseguiria realizar qualquer ação cognitiva humana wang continuará atuando como diretor no conselho de administração da scale e apoiará o trabalho continuo da scale para liberar o poder da ia aponta o comunicado da startup',Fato
'neymar pronto agora que o dorival foi demitido vai começar a loucura de fechar com ancelotti ou com jorge jesus ancelotti na minha opinião não é lá essas coisas eu acho que ele deu sorte no real madrid já o perturbado do jorge jesus também é fraco né o único trabalho de expressão que esse velho gágá fez foi é aqui no flamengo mas também com aquele time que o flamengo montou até o lisca doido seria campeão fora isso eu tenho uma mágoa com ele ele com inveja do meu salário astronômico me queimou lá na arábia era para botar até hoje ganhando rios de dinheiro eu queria fazer minhas cachorradas na paz e jogar apenas em jogos específicos na manha mas ele como sempre foi inventar moda e ferrou com tudo espero sinceramente que o ednaldo não chame ele se chamar ele eu me aposento de vez dessa seleção nojenta a mídia sempre bota para lascar em mim mas quando eu não jogo a seleção eu sempre passa vergonha se você perceber no 7 out eu não tava na eliminação da copa américa eu não tava e agora nessa goleada vergonhosa contra a argentina sem o messi eu também não tava resumindo eu sou a pica de cachorro dessa geração sem vergonha aí eu te pergunto se comigo era ruim imagina sem mim',Fake
'a estratégia do governo brasileiro para evitar um novo tarifaço comercial por parte dos estados unidos é buscar uma negociação direta com o presidente donald trump avaliando que a posição do secretário de estado marco rubio é movida por questões ideológicas a equipe do planalto estuda a aplicação da lei da reciprocidade caso os eua avancem com o aumento de tarifas sobre produtos brasileiros o governo descartou concessões estratégicas em áreas como o sistema pix reafirmando sua soberania digital o presidente lula busca um encontro com donald trump durante a reunião do g7 na frança para discutir a relação bilateral e evitar medidas que prejudiquem a economia nacional',Fato
'as alucinações acontecem quando modelos de ia geram respostas que parecem corretas mas são inventadas o rag retrieval-augmented generation ajuda a reduzir esse problema pois permite que a ia busque informações em fontes externas e confiáveis antes de responder o que é rag rag é a sigla para retrieval-augmented generation ou geração aumentada por recuperação em português é uma técnica que permite que modelos de linguagem consultem informações externas antes de responder em vez de depender apenas do que aprenderam durante o treinamento como o rag funciona o funcionamento do rag pode parecer técnico à primeira vista mas a lógica é bastante intuitiva quando explicada passo a passo em vez de responder apenas com base no que aprendeu durante o treinamento o modelo de ia consulta informações externas antes de formular a resposta tudo começa com a criação de uma base de conhecimento que pode incluir manuais políticas internas artigos relatórios ou faqs em diferentes formatos textos pdfs ou bancos de dados etc para que o sistema processe esse conteúdo os documentos são fragmentados em partes menores e convertidos em representações numéricas chamadas vetores que representam o significado do texto e permitem que o sistema compreenda o contexto das informações não apenas palavras isoladas quando você faz uma pergunta ela é convertida em um vetor o sistema compara essa representação com as armazenadas na base de conhecimento para encontrar os trechos mais relevantes em outras palavras ele busca as informações que se relacionam com a dúvida do usuário mesmo que não utilizem exatamente as mesmas palavras os trechos recuperados são combinados à pergunta do usuário em um único prompt enriquecido com informações externas processo conhecido como augmentação assim o sistema produz a resposta com sua capacidade de geração de texto junto aos dados recebidos o que torna o resultado mais preciso atualizado e fundamentado em fontes reais reduzindo o risco de informações inventadas dá para usar rag no chatgpt gemini e afins não o rag está disponível para desenvolvedores através da api da openal google anthropic e afins que permitem acesso aos modelos das companhias mas não necessariamente nos apps como chatgpt gemini e claude por exemplo neste caso os modelos são utilizados em soluções próprias como chatbots corporativos e assistentes internos para processar as informações de bases de dados externas o rag acaba com as alucinações não o rag não elimina completamente as alucinações mas ajuda a reduzir o risco elas acontecem quando o modelo precisa responder a algo pouco representado em seu treinamento e para não ficar em silêncio acaba preenchendo as lacunas com informações inventadas ainda que pareçam convincentes com o rag o processo ocorre de outra forma antes de responder o sistema vai até uma base de dados mantida pelo usuário ou empresa e recupera trechos que tenham relação com a pergunta no entanto o resultado depende da qualidade dessas fontes se os dados estiverem desatualizados imprecisos ou mal organizados a resposta gerada também pode apresentar problemas quais são os principais usos do rag a possibilidade de conectar modelos de ia a dados reais e atualizados abre espaço para chatbots de suporte ao cliente capazes de responder perguntas sobre produtos garantias e políticas usando documentos oficiais da empresa; assistentes internos corporativos que ajudam funcionários a encontrar informações em manuais politicas de rh ou relatórios; pesquisa jurídica médica e financeira com possibilidade de analisar grandes volumes de documentos técnicos com mais precisão; resumo de textos longos e complexos como contratos ou relatórios com base no conteúdo real das fontes; sistemas de recomendação que usam dados atualizados para sugerir produtos conteúdos ou serviços de forma mais contextual',Fato
'papai cris fala verdades sobre jogadores brasileiros o brasil tem uma seleção sem vergonha a chegada do profissão em slot não vai resolver os problemas de uma geração pobre de talento mais do que talento o que falta para os jogadores do brasil é comprometimento de educação todos os últimos talentos brasileiros pararam suas carreiras de forma precoce por falta de gestão profissional os jogadores brasileiros só querem farra e sair com as verificadas dificilmente um craque brasileiro joga em alto nível na europa após os 30 anos de idade a verdade é que todos são acomodados veja o exemplo do menino ney tinha tudo para reinar em absoluto futebol mas agora com 33 anos já está praticamente aposentado',Fake
'se você quer emagrecer rápido de forma natural sem efeito rebote e o melhor só pagar quando receber a inovação chegou e tem nome mais fit um tratamento diferente de tudo o que você já viu se você tem pressão alta diabetes ou qualquer outro problema de saúde fica tranquilo esse tratamento é seguro para você também depois de muitos estudos testes rigorosos com a anvisa e centenas de cientistas chegamos ao mais fit um composto revolucionário com ingredientes exclusivos da medicina natural japonesa a mais avançada do planeta a fórmula cápsulas pretas e brancas mais fit é o único tratamento do brasil com essa combinação poderosa com eficácia comprovada de 999',Fake
'o ecossistema de ferramentas de inteligência artificial ia ganhou mais um integrante o aicom lançada oficialmente neste domingo 8 durante o intervalo do super bowl a plataforma foi apresentada como um produto que busca evoluir a experiência dos consumidores com a iafundado por kris marszalek ceo da cryptocom o serviço é focado na criação e utilização de agentes autônomos e chegou a ficar fora do ar após o anúncio devido ao alto volume de acessos simultâneos o que é aicom o aicom é uma plataforma cujo objetivo principal é permitir que consumidores criem e gerenciem agentes de ia pessoais com poucos cliques em apenas 60 segundos o projeto nasceu após marszalek adquirir o dominio aicom em 2025 pelo valor de us$ 70 milhões cerca de r$ 364 milhões na cotação atual o fundador afirma que a plataforma chega para popularizar o uso de agentes de ia e viabilizar avanços rumo à inteligência artificial geral agi de forma semelhante ao que ele diz ter feito com a adoção global de criptomoedas por meio da cryptocom estamos em uma mudança fundamental na evolução da ia à medida que avançamos rapidamente de bate-papos básicos para agentes de ia que realmente realizam tarefas para os humanos afirmou marszalek kris ressalta ainda que pretende criar uma rede de bilhões de agentes que se autoaperfeiçoam e compartilham avanços e melhorias entre si como a plataforma funciona a experiência com a nova plataforma começa com a escolha de um nome para o usuário e para o assistente autônomo em seguida é necessário adicionar os dados de um cartão de crédito para comprovar que o processo está sendo realizado por um humano -o site afirma que não há cobrança após esse passo a passo já é possível começar a utilizar os agentes embora uma demanda extremamente alta possa colocar os usuários em uma fila para a geração dos assistentes o acesso inicial leva a uma interface composta por cards de ação rápida eles permitem conectar o agente a serviços como e-mail e calendário por meio de integrações disponíveis na tela principal também é possível criar um avatar para o assistente e adicionar uma introdução com informações essenciais por meio de notas de voz o sistema também oferece uma configuração rápida baseada em oito perguntas para adaptar o agente às necessidades do usuário o assistente ainda pode ser programado para fornecer um briefing diário de três minutos com atualizações ou exibir resumos de notícias uma vez realizada a configuração inicial os assistentes podem ser projetados para realizar tarefas como negociar ações automação de fluxos de trabalho; enviar mensagens em aplicativos; atualizar perfis em apps de relacionamento o aicom é grátis sim a versão de entrada com recursos básicos é gratuita no entanto os usuários podem assinar planos pagos para acessar funcionalidades mais avançadas e um maior volume de tokens',Fato
'openai e microsoft anunciaram nesta terça-feira 28 uma revisão no contrato de parceria entre as empresas uma das atualizações prevê que um painel de especialistas será responsável por verificar se a openai atingiu a inteligência artificial geral agi openai conclui reestruturação para se tornar uma empresa com fins lucrativos openai disse que vai liberar aplicativos +18 assim que ajustar controle de idade pesquisadores questionam como aplicativo do sora se encaixa na missão da openal o anúncio foi feito no contexto da recapitalização da openal que agora passa a operar com uma organização sem fins lucrativos chamada openai foundation e uma empresa com fins lucrativos denominada openai group pbc nessa nova configuração a microsoft ficou com 27 das ações da companhia cerca de us$ 135 bilhões depois que a agi for declarada pela openal essa declaração será verificada por um painel de especialistas independentes informam openal e microsoft em comunicado conjunto a alteração adiciona uma nova camada de revisão sobre a próxima fase da ia já que o acordo anterior previa que apenas a empresa de sam altman determinaria quando teria alcançado a agi no entanto não foram divulgados os nomes dos especialistas responsáveis pela avaliação nem quais critérios serão utilizados para verificar se a agi de fato foi alcançada direitos de propriedade intelectual da microsoft as novas diretrizes da parceria também definem que os direitos de propriedade intelectual da microsoft sobre pesquisas incluindo os métodos utilizados no desenvolvimento de modelos e sistemas de ia permanecerão vigentes até que especialistas verifiquem o atingimento da agi ou até 2030 o que ocorrer primeiro a propriedade intelectual sobre pesquisa não inclui arquitetura de modelo pesos de modelo código de inferência código de ajuste fino ou qualquer propriedade intelectual relacionada a hardware e software de data center; e a microsoft retém esses direitos de propriedade intelectual não relacionados à pesquisa destacam as companhias por outro lado a revisão do acordo estabelece que a microsoft mantém os direitos de propriedade intelectual sobre modelos de ia e produtos até 2032 essa extensão inclui tecnologias desenvolvidas após a eventual chegada da agi com proteções de segurança apropriadas openai e microsoft anunciou um acordo atualizado da parceria reproduçãoopenai busca da microsoft pela agi o novo acordo também determina que a empresa fundada por bill gates poderá buscar atingir a inteligência artificial geral de forma independente inclusive em parcerias com terceiros contudo se a microsoft usar a propriedade intelectual da openal para desenvolver a agi antes que ela seja declarada e validada pelo painel de especialistas os produtos deverão respeitar limites computacionais previamente definidos ainda assim esses limites seriam significativamente maiores do que os usados no treinamento dos principais modelos atuais de ia o acordo de divisão de receitas entre as empresas permanece em vigor até que os especialistas independentes verifiquem a agi embora os pagamentos possam ser realizados em um periodo mais longo à medida que avançamos neste próximo capítulo da nossa parceria ambas as empresas estão melhor posicionadas do que nunca para continuar a desenvolver excelentes produtos que atendam às necessidades do mundo real e criem novas oportunidades para pessoas e empresas concluem as companhias no comunicado',Fato
'as autoridades de saúde dos estados unidos aprovaram uma terapia genética inédita para tratar uma forma rara de perda auditiva hereditária o anúncio foi feita nesta quinta-feira 23entre duas e três de cada 1000 crianças no país nascem com deficiência auditiva especialistas calculam que mais da metade dos casos de perda auditiva precoce são causados por mutações genéticasdesenvolvido pela empresa de biotecnologia americana regeneron o tratamento conhecido como otarmeni é voltado a um tipo específico e pouco comum de perda auditiva que atinge cerca de 50 recém-nascidos por ano nos estados unidoso medicamento estará disponível para crianças e adultos com perda auditiva severa a profunda causada por determinadas mutações no gene otof esse gene é responsável por produzir uma proteína essencial para a transmissão de sinais sonoros do ouvido interno até o cérebroapesar do custo elevado do tratamento que pode custar milhões de dólares por paciente nos estados unidos a regeneron informou que pretende oferecer o tratamento de maneira gratuita a pacientes elegíveis no paísadministrado com uma única injeção no ouvido por um cirurgião o tratamento já tem sido considerado como revolucionário por pais de crianças afetadasé absolutamente incrível afirmou emocionada sierra smith a jovem mãe de travis um bebê que recebeu o tratamentosegundo ela após a cirurgia o filho passou a reagir a sons ele consegue ouvir música adora dançar e se interessa por instrumentos afirmou durante um evento na casa brancanos testes clínicos que envolveram 20 pacientes entre 10 meses e 16 anos ao menos 80 apresentaram melhora significativa da audição poucos meses após o tratamento',Fato
'mustafa suleyman ceo da microsoft ai alertou para a possibilidade do avanço de sistemas de inteligência artificial exigir uma intervenção militar a declaração do executivo da big tech foi dada em entrevista ao comediante e apresentador trevor noah na conversa divulgada em 18 de setembro no canal do youtube de noah suleyman destacou a importância de regular as capacidades cada vez mais sofisticadas das ias a fim de evitar que saiam do controle o ceo afirmou que esses sistemas podem se tornar tão poderosos a ponto de empresas e governos terem dificuldade em controlá-los ele citou a possibilidade de uma ia modificar seu próprio código como exemplo de avanço perigoso combinada com a capacidade de definir seus próprios objetivos agir de forma autônoma e acumular seus próprios recursos esse seria um sistema muito poderoso que poderia exigir intervenção de nível militar para ser interrompido em 5 a 10 anos disse suleyman o executivo acrescentou que é crucial que os desenvolvedores de ia mantenham como foco a criação de ferramentas para auxiliar os humanos e não para transformá-las em entidades semelhantes a pessoas avanços da inteligência artificial as falas de suleyman referem-se a estágios da tecnologia conhecidos como inteligência artificial geral agi na sigla em inglês e superinteligência artificial asi a agi é o estágio em que a ia atinge uma capacidade cognitiva igual ou ligeiramente superior à dos humanos nesse nível ela consegue raciocinar aprender e responder a diferentes demandas de maneira semelhante a uma pessoa já a asi representa uma etapa ainda mais avançada visto que é considerada o estágio máximo do desenvolvimento da inteligência artificial nesse nível os sistemas ultrapassariam as habilidades cognitivas humanas e seriam capazes de se aprimorar continuamente sem depender de intervenção humana avanços da inteligência artificial um cenário pessimista com base nos próximos estágios da ia semelhante ao apontado por mustafa suleyman foi sugerido por um artigo de pesquisa intitulado ai2027 nele especialistas liderados por daniel kokotajlo ex-pesquisador da openai analisaram como a ia impactará a humanidade em dois anos o texto propõe que em 2027 os sistemas de ia teriam poder suficiente para retirar da humanidade o controle sobre o próprio destino ele também aponta para a possibilidade de a disputa pelo controle da ia resultar em uma guerra entre estados unidos e china',Fato
